mal_id,english_name,score,genres,popularity
33728,Chain Chronicle:The Light of Haecceitas Part 1,7.06,"Action, Adventure, Fantasy, Magic, Shounen",3676
33729,Chain Chronicle:The Light of Haecceitas Part 2,7.07,"Action, Adventure, Fantasy, Magic, Shounen",4342
33730,Chain Chronicle:The Light of Haecceitas Part 3,7.08,"Action, Adventure, Fantasy, Magic, Shounen",4489
33731,Gabriel DropOut,7.49,"Comedy, Demons, Supernatural, School, Shounen",393
33733,Inazuma Eleven:Balance of Ares,6.68,Sports,3300
33741,Mobile Police Patlabor:Reboot,6.55,"Sci-Fi, Comedy, Police, Mecha",6493
33743,Fuuka,6.54,"Drama, Ecchi, Music, Romance, School, Shounen",654
33746,Anime de Training! Xx,5.62,"Comedy, Sports",4453
33759,Beyond the Worlds,6.46,"Action, Fantasy",12783
33771,Cheating Craft,5.44,"Action, Comedy, School",2142
33775,Soul Buster,5.81,"Action, Samurai",3705
33777,Crazy Little Thing,5.91,"Dementia, Drama",11584
33783,Godzilla:Planet of the Monsters,6.53,"Action, Adventure, Sci-Fi",2329
33788,MARGINAL #4 the Animation,6.7,"Comedy, Music, School",4316
33797,ID-0,6.59,"Sci-Fi, Space, Mecha",3894
33801,The Prisoners of Time,5.46,"Supernatural, Drama",10827
33803,SENGOKUCHOJYUGIGA,5.89,"Historical, Demons, Supernatural, Samurai",6195
33808,Girl Friend Note,6.09,"Music, School",7656
33811,Teekyu 8,6.67,"Comedy, Sports, Shounen",4616
33814,Aooni The Blue Monster,5.14,"Comedy, Horror",3944
33820,Aooni the Movie,4.22,"Mystery, Horror",5983
33834,Seven Mortal Sins,5.69,"Ecchi, Fantasy",1285
33836,Seiren,6.31,"Romance, School",946
33840,Kabukibu!,6.62,School,3935
33850,Libra of Nil Admirari,6.61,"Harem, Historical, Romance, Fantasy, Josei",2985
33859,Chicken Papa,4.12,Comedy,10809
33889,Dances with the Dragons,5.82,"Action, Drama, Fantasy, Sci-Fi",2352
33899,IDOLiSH7,7.78,Music,2570
33914,Runnin' Away Gelée,5.43,"Music, Dementia, Horror, Fantasy",13279
33926,The King's Avatar,7.98,"Action, Game",504
33941,Towel Story,5.86,Slice of Life,13584
33948,Hinako Note,6.76,"Comedy, Slice of Life",1669
33949,Please tell me! Galko-chan OVA,7.12,"Slice of Life, Comedy",3379
33964,91 Days:Brief Candle,6.4,"Action, Historical, Drama",3402
33966,100 Sleeping Princes and the Kingdom of Dreams,5.9,"Adventure, Harem, Fantasy",4216
33975,The Glass Mask Year 3 Class D,4.71,"Comedy, Parody, School",8893
33983,Onihei,7.31,"Historical, Seinen",2786
33985,Bloodivores,5.51,"Action, Supernatural, Vampire",1610
33988,Interviews With Monster Girls,7.62,"Comedy, Vampire, Fantasy, School, Seinen",435
34006,Augmented Reality Girls Trinary,6.05,Sci-Fi,3485
34009,TO BE HERO,7.0,Comedy,2272
34012,Restaurant to Another World,7.35,"Comedy, Fantasy, Mystery",980
34013,Hagane Orchestra,5.58,"Game, Adventure, Comedy, Parody",6858
34019,Tsugumomo,7.07,"Action, Comedy, Ecchi, School, Seinen, Supernatural",1107
34028,Idol Incidents,5.68,Music,4543
34034,Pokémon the Series:Sun & Moon,6.84,"Action, Game, Kids, Fantasy, School",1862
34048,Seoul Station,5.82,"Horror, Thriller",6325
34051,Akiba's Trip The Animation,6.55,"Action, Comedy, Supernatural, Ecchi",1274
34052,100% Teacher Pascal,5.72,Comedy,8585
34076,The Eccentric Family 2,8.13,"Comedy, Demons, Drama, Fantasy, Slice of Life",2229
34077,Cardfight!! Vanguard G NEXT,6.59,"Action, Game, Shounen",5662
34088,Chiruran 1/2,5.67,"Action, Comedy, Historical",5728
34100,Fate/kaleid liner Prisma Illya:Vow in the Snow,7.98,"Action, Fantasy, Magic",1903
34102,Sagrada Reset,7.37,"Mystery, Super Power, Supernatural, School",1229
34103,Danganronpa 3:The End of Hope's Peak High School - Hope Arc,7.54,"Action, Psychological, Horror, Mystery",1121
34104,Knight's & Magic,7.13,"Action, Fantasy, Mecha, School",840
34126,Rewrite:Moon and Terra,7.26,"Action, Military, Comedy, Supernatural, Romance, Fantasy",1512
34148,Nyanko Days,6.61,"Slice of Life, Comedy",2108
34161,Overlord:The Undead King,7.62,"Action, Game, Supernatural, Magic, Fantasy",2051
34177,Angel's 3Piece!,6.66,"Music, School, Slice of Life",2261
34204,Sound! Euphonium 2 Specials,6.68,"Music, Comedy, School",4144
34223,Forest Fairy Five,3.47,"Music, Comedy, Fantasy",8173
34239,The Story of the Sextuplets and a Horse,6.23,"Comedy, Parody, Sports",8687
34240,Shelter,8.34,"Sci-Fi, Music",539
34257,THE IDOLM@STER CINDERELLA GIRLS Theater,6.54,"Comedy, Slice of Life",4175
34262,The Royal Tutor,7.47,"Slice of Life, Comedy, Historical, Shounen",1361
34279,Record of Grancrest War,7.25,"Action, Drama, Fantasy, Romance",698
34280,Gamers!,6.92,"Game, Comedy, Romance, School",283
34281,High School DxD Hero,7.28,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",453
34292,Kamigami no Ki,5.97,"Comedy, Historical, Supernatural",11392
34295,Ai-Mai-Mi Surgical Friends,6.11,"Slice of Life, Comedy",5268
34299,Digimon Adventure tri. Loss,7.34,"Action, Adventure, Comedy, Drama",2353
34300,QUANZHIFASHI,7.29,"Action, Fantasy, Magic, School",1594
34318,Mekakucity V's,7.38,"Music, Romance, Super Power, Supernatural",6642
34321,Fate/Grand Order -First Order-,6.78,"Action, Supernatural, Magic, Fantasy",1071
34337,Ikemen Sengoku:Bromances Across Time,6.26,"Historical, Romance",5579
34346,Pig:The Dam Keeper Poems,6.98,Fantasy,11403
34350,Alice & Zoroku,7.12,"Adventure, Mystery, Seinen",1410
34368,Vatican Miracle Examiner,6.39,"Mystery, Supernatural, Drama",2520
34382,Citrus,6.51,"Drama, Romance, School, Shoujo Ai",398
34383,Netsuzou Trap -NTR-,5.37,"Drama, Romance, Shoujo Ai",1271
34389,Koro Sensei Quest!,7.1,"Comedy, Magic, Shounen",2678
34392,One Room,5.57,Slice of Life,1539
34393,Room Mate,4.76,"Harem, Slice of Life",3626
34402,Love Rice,4.64,Slice of Life,5015
34403,My First Girlfriend is a Gal,6.31,"Comedy, Ecchi, Romance, School, Shounen",412
34420,Isekai Izakaya:Japanese Food From Another World,7.38,Fantasy,3312
34422,Two Tea Two,5.14,Dementia,14703
34428,Overlord:The Dark Hero,7.66,"Action, Game, Supernatural, Magic, Fantasy",2269
34437,Code Geass:Lelouch of the Re;surrection,7.97,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",685
34438,Code Geass:Lelouch of the Rebellion I - Initiation,7.94,"Action, Military, Sci-Fi, Super Power, Mecha, School",1829
34439,Code Geass:Lelouch of the Rebellion II - Transgression,7.68,"Action, Mecha, Military, School, Sci-Fi, Super Power",2235
34440,Code Geass:Lelouch of the Rebellion III - Glorification,8.04,"Action, Mecha, Military, School, Sci-Fi, Super Power",1945
34449,The Reflection,5.14,"Action, Super Power",3157
34451,Blood Blockade Battlefront & Beyond,7.88,"Action, Comedy, Fantasy, Shounen, Super Power, Supernatural, Vampire",470
34454,Granblue Fantasy,6.48,Fantasy,5929
34455,Princess Connect!,6.07,Fantasy,6451
34467,Yamishibai:Japanese Ghost Stories 4,5.73,"Dementia, Horror, Supernatural",3616
34471,Yo-kai Watch Shadowside:The Return of the Oni King,6.83,"Demons, Kids, Supernatural",9871
34475,Monster Strike:Rain of Memories,6.52,"Action, Game, Fantasy",8535
34481,Tawawa on Monday Specials,6.59,"Slice of Life, Ecchi",3419
34494,Sakura Quest,7.41,"Slice of Life, Comedy",1210
34497,Death March to the Parallel World Rhapsody,6.54,"Adventure, Fantasy, Harem",411
34498,"Fireworks, Should We See It from the Side or the Bottom?",6.11,"Romance, Sci-Fi",1084
34501,Kenka Bancho Otome -Girl Beats Boys-,6.45,"Action, Martial Arts, School, Shoujo",2051
34502,Inazma Delivery,6.33,"Action, Sci-Fi, Comedy",11141
34510,Black Cat Detective,5.62,"Action, Adventure, Cars, Comedy, Kids, Police",12953
34514,Pokémon Generations,7.46,"Action, Adventure, Fantasy, Game, Kids",2633
34525,A Centaur's Life,6.48,"Slice of Life, Comedy, Fantasy, School, Seinen",1806
34533,Nanbaka:Idiots with Student Numbers!,6.88,"Action, Comedy, School",3384
34535,Koi Suru Shirokuma,6.74,"Comedy, Josei, Shounen Ai",6435
34537,"Night Is Short, Walk on Girl",8.23,"Comedy, Romance",1656
34540,Pokémon the Movie:I Choose You!,7.08,"Action, Adventure, Comedy, Kids",2727
34541,Mary and the Witch's Flower,7.28,"Adventure, Fantasy, Magic",1848
34542,Inuyashiki:Last Hero,7.7,"Action, Drama, Psychological, Sci-Fi, Seinen",318
34543,DIVE!!,6.08,"Comedy, Sports",2527
34544,Kabaneri of the Iron Fortress:The Battle of Unato,7.72,"Action, Horror, Supernatural, Drama, Fantasy",1695
34547,Altair:A Record of Battles,7.55,"Military, Adventure, Historical, Drama, Fantasy, Shounen",2048
34550,The Laughing Salesman,6.27,"Comedy, Drama, Seinen",4092
34561,Re:CREATORS,7.57,"Action, Sci-Fi, Fantasy, Mecha",365
34565,Chronos Ruler,6.33,"Supernatural, Shounen",2010
34566,Boruto:Naruto Next Generations,5.81,"Action, Adventure, Super Power, Martial Arts, Shounen",223
34572,Black Clover,7.38,"Action, Comedy, Magic, Fantasy, Shounen",97
34577,The Seven Deadly Sins:Revival of the Commandments,7.84,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",115
34580,Fastest Finger First,6.7,"Game, School, Seinen",1923
34595,"""Parade"" de Satie",5.44,"Music, Dementia",11361
34599,Made in Abyss,8.74,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",95
34612,The Disastrous Life of Saiki K. 2,8.48,"Slice of Life, Comedy, Supernatural, School, Shounen",388
34618,BLEND-S,7.36,"Slice of Life, Comedy",286
34620,YU-NO:A girl who chants love at the bound of this world.,6.58,"Sci-Fi, Drama",1401
34625,Master of Torque:Epilogue,5.56,Cars,12843
34626,KonoSuba:God's Blessing on This Wonderful World! 2:God's blessing on this wonderful Art!,8.07,"Magic, Adventure, Fantasy, Comedy, Supernatural",606
